row,Date,Speaker,Process,Recipient,codeString
730,507,C,R,X,OF1.000
731,507,X,R,C,OF1.000
732,507,C,R,X,OF1.000
733,507,X,R,C,OF1.000
733,507,X,R,C,TP1.000
734,507,H,R,GT,OF1.000
734,507,H,R,GT,TP1.000
735,507,C,R,X,OF1.000
736,507,X,R,C,OF1.000
737,507,C,R,X,0.500KSOF
737,507,C,R,X,TP1.000
738,507,X,R,C,IE1.000
740,507,R,R,X,IE1.000
741,507,H,R,R,IE1.000
742,507,X,R,R,IE1.000
743,507,C,R,R,IE1.000
743,507,C,R,R,TP1.000
744,507,X,R,GT,0.333IEKSTP
747,507,C,R,X,TP1.000
749,507,R,R,C,0.500GOIE
749,507,R,R,C,TP1.000
750,507,C,R,R,UC1.000
751,507,X,R,C,UC1.000
752,507,C,R,X,UC1.000
753,507,X,R,H,0.333IEOFTP
754,507,H,R,X,OF1.000
755,507,C,R,X,OF1.000
756,507,X,R,C,0.333IEOFTP
757,507,H,R,R,OF1.000
758,507,R,R,H,OF1.000
760,507,X,R,C,0.333IEOFTP
761,507,X,R,C,TP1.000
763,507,R,R,H,TP1.000
764,507,H,R,R,IE1.000
765,507,,R,,0.500OFTP
766,507,H,R,R,OF1.000
767,507,R,R,H,OF1.000
768,507,C,R,R,OF1.000
769,507,R,R,C,UC1.000
770,507,C,R,UC,OF1.000
771,507,X,R,H,OF1.000
772,507,H,R,X,0.333IETPUC
773,507,X,R,H,IE1.000
774,507,C,R,X,IE1.000
775,507,X,R,C,TP1.000
776,507,C,R,H,TP1.000
778,507,C,R,H,0.333IEOFTP
779,507,H,R,C,UC1.000
780,507,H,R,C,TP1.000
782,507,X,R,H,UC1.000
783,507,C,R,H,TP1.000
784,507,R,R,UC,TP1.000
785,507,C,R,X,TP1.000
786,507,X,R,C,TP1.000
787,507,C,R,R,0.333EAIETP
788,507,R,R,C,TP1.000
789,507,X,R,R,0.333EAKSTP
790,507,H,R,C,TP1.000
791,507,C,R,H,TP1.000
792,507,H,R,C,TP1.000
793,507,R,R,GT,TP1.000
794,507,X,R,H,TP1.000
795,507,H,R,X,UC1.000
796,507,X,R,H,TP1.000
797,507,H,R,X,TP1.000
798,507,C,R,X,UC1.000
799,507,X,R,C,TP1.000
800,507,X,R,C,TP1.000
801,507,H,R,C,IE1.000
801,507,H,R,C,TP1.000
803,507,H,R,C,IE1.000
804,507,C,R,H,IE1.000
805,507,R,R,C,IE1.000
806,507,C,R,R,TP1.000
807,507,R,R,C,TP1.000
808,507,X,R,UC,TP1.000
809,507,H,R,GT,TP1.000
810,507,C,R,T,TP1.000
811,507,R,R,C,IE1.000
812,507,,R,,IE1.000
813,507,C,R,R,IE1.000
814,507,R,R,C,IE1.000
815,507,C,R,R,IE1.000
816,507,R,R,C,OF1.000
817,507,C,R,R,OF1.000
818,507,R,R,C,OF1.000
820,507,X,R,GT,OF1.000
821,507,R,R,X,OF1.000
822,507,C,R,R,OF1.000
823,507,H,R,GT,UC1.000
824,507,X,R,GT,OF1.000
825,507,C,R,GT,OF1.000
826,507,R,R,C,OF1.000
827,507,H,R,C,OF1.000
828,507,X,R,UC,TP1.000
